location,summer_inten_max,predicted_change,lower_bound,upper_bound
Jurien,1.640404878,2.979845878,0.432456687,5.923170247
Jurien,1.644972779,2.947302442,0.402316381,5.882926314
Jurien,1.649540681,2.914759007,0.382216344,5.842682381
Jurien,1.654108582,2.882215572,0.36249039,5.802438448
Jurien,1.658676483,2.849672136,0.342871063,5.763461248
Jurien,1.663244385,2.817128701,0.322752807,5.737315644
Jurien,1.667812286,2.784585266,0.298396085,5.710896135
Jurien,1.672380188,2.752041831,0.274039364,5.684476626
Jurien,1.676948089,2.719498395,0.249682643,5.646036679
Jurien,1.681515991,2.68695496,0.225325921,5.602522678
Jurien,1.686083892,2.654411525,0.197323774,5.56517719
Jurien,1.690651793,2.62186809,0.154742775,5.535425026
Jurien,1.695219695,2.589324654,0.112161776,5.505290121
Jurien,1.699787596,2.556781219,0.074664578,5.475155216
Jurien,1.704355498,2.524237784,0.031079833,5.445020311
Jurien,1.708923399,2.491694348,0.012039704,5.405983175
Jurien,1.7134913,2.459150913,-0.015142225,5.36311918
Jurien,1.718059202,2.426607478,-0.038100618,5.320182036
Jurien,1.722627103,2.394064043,-0.060791557,5.27685774
Jurien,1.727195005,2.361520607,-0.083482496,5.243476264
Jurien,1.731762906,2.328977172,-0.106173436,5.208080437
Jurien,1.736330808,2.296433737,-0.128864375,5.162377494
Jurien,1.740898709,2.263890301,-0.151555315,5.112412571
Jurien,1.74546661,2.231346866,-0.174246254,5.064476458
Jurien,1.750034512,2.198803431,-0.210516408,5.018581728
Jurien,1.754602413,2.166259996,-0.236784036,4.975772851
Jurien,1.759170315,2.13371656,-0.260309411,4.932963975
Jurien,1.763738216,2.101173125,-0.297903112,4.890155099
Jurien,1.768306117,2.06862969,-0.336907498,4.847346223
Jurien,1.772874019,2.036086255,-0.375911884,4.804537347
Jurien,1.77744192,2.003542819,-0.41491627,4.766947004
Jurien,1.782009822,1.970999384,-0.453742342,4.739484054
Jurien,1.786577723,1.938455949,-0.519818168,4.712021103
Jurien,1.791145624,1.905912513,-0.560014436,4.684558153
Jurien,1.795713526,1.873369078,-0.580758162,4.653957111
Jurien,1.800281427,1.840825643,-0.63177726,4.620027492
Jurien,1.804849329,1.808282208,-0.659993716,4.591524579
Jurien,1.80941723,1.775738772,-0.687824463,4.563021666
