location,summer_temp_max,predicted_change,lower_bound,upper_bound
Maria Island,16.16572991,2.005027833,-0.702390989,4.78059263
Maria Island,16.17001039,2.000040112,-0.699616237,4.767176527
Maria Island,16.17429088,1.995052391,-0.696841484,4.753760425
Maria Island,16.17857137,1.99006467,-0.694066731,4.740344322
Maria Island,16.18285185,1.98507695,-0.691291978,4.72692822
Maria Island,16.18713234,1.980089229,-0.688517225,4.713512117
Maria Island,16.19141283,1.975101508,-0.685742473,4.700096015
Maria Island,16.19569331,1.970113787,-0.68296772,4.686778047
Maria Island,16.1999738,1.965126066,-0.680192967,4.67657263
Maria Island,16.20425429,1.960138345,-0.677418214,4.666367213
Maria Island,16.20853477,1.955150624,-0.675415555,4.656161796
Maria Island,16.21281526,1.950162904,-0.67414124,4.645956379
Maria Island,16.21709575,1.945175183,-0.672866925,4.635750962
Maria Island,16.22137623,1.940187462,-0.67277671,4.625545545
Maria Island,16.22565672,1.935199741,-0.67316594,4.615340128
Maria Island,16.22993721,1.93021202,-0.673555171,4.605134711
Maria Island,16.23421769,1.925224299,-0.673944401,4.594929293
Maria Island,16.23849818,1.920236578,-0.674333632,4.584723876
Maria Island,16.24277867,1.915248858,-0.674722862,4.574383059
Maria Island,16.24705915,1.910261137,-0.675112093,4.564015036
Maria Island,16.25133964,1.905273416,-0.675501323,4.553647013
Maria Island,16.25562012,1.900285695,-0.675890553,4.54327899
Maria Island,16.25990061,1.895297974,-0.676279784,4.532910967
Maria Island,16.2641811,1.890310253,-0.676669014,4.522542944
Maria Island,16.26846158,1.885322532,-0.677058245,4.51217492
Maria Island,16.27274207,1.880334811,-0.677447475,4.501806897
Maria Island,16.27702256,1.875347091,-0.677836706,4.491438874
Maria Island,16.28130304,1.87035937,-0.678225936,4.481070851
Maria Island,16.28558353,1.865371649,-0.678615167,4.470702828
Maria Island,16.28986402,1.860383928,-0.679004397,4.460334805
Maria Island,16.2941445,1.855396207,-0.679393628,4.449966782
Maria Island,16.29842499,1.850408486,-0.679782858,4.439598759
Maria Island,16.30270548,1.845420765,-0.680172088,4.429230736
Maria Island,16.30698596,1.840433045,-0.680561319,4.417038755
Maria Island,16.31126645,1.835445324,-0.680950549,4.4024154
Maria Island,16.31554694,1.830457603,-0.68133978,4.390121618
Maria Island,16.31982742,1.825469882,-0.68172901,4.381126605
Maria Island,16.32410791,1.820482161,-0.682118241,4.372131592
