location,summer_dhd50_max,predicted_change,lower_bound,upper_bound
Jurien,33.74551903,2.199240577,-0.735711841,5.004146523
Jurien,33.96045243,2.168930084,-0.752133699,4.970314733
Jurien,34.17538584,2.13861959,-0.768555557,4.933326885
Jurien,34.39031924,2.108309096,-0.797166637,4.896339037
Jurien,34.60525265,2.077998603,-0.831623255,4.859351188
Jurien,34.82018605,2.047688109,-0.859127477,4.82236334
Jurien,35.03511946,2.017377615,-0.881085704,4.785375492
Jurien,35.25005286,1.987067122,-0.903301886,4.759058834
Jurien,35.46498627,1.956756628,-0.933743252,4.733232971
Jurien,35.67991967,1.926446135,-0.964184618,4.707407108
Jurien,35.89485308,1.896135641,-0.989204798,4.681581245
Jurien,36.10978648,1.865825147,-1.012034596,4.655755382
Jurien,36.32471989,1.835514654,-1.041894932,4.627428519
Jurien,36.53965329,1.80520416,-1.071755268,4.593168004
Jurien,36.7545867,1.774893666,-1.101615604,4.55890749
Jurien,36.9695201,1.744583173,-1.13147594,4.524646976
Jurien,37.18445351,1.714272679,-1.161336276,4.490386462
Jurien,37.39938691,1.683962185,-1.191196612,4.456125947
Jurien,37.61432032,1.653651692,-1.221056948,4.421865433
Jurien,37.82925372,1.623341198,-1.251983665,4.387604919
Jurien,38.04418713,1.593030705,-1.295537509,4.353344405
Jurien,38.25912053,1.562720211,-1.324405913,4.318819518
Jurien,38.47405394,1.532409717,-1.361376578,4.284231781
Jurien,38.68898734,1.502099224,-1.394358399,4.246515593
Jurien,38.90392075,1.47178873,-1.425505375,4.202336599
Jurien,39.11885415,1.441478236,-1.456087757,4.158157606
Jurien,39.33378756,1.411167743,-1.48666155,4.113978613
Jurien,39.54872096,1.380857249,-1.525065952,4.069799619
Jurien,39.76365437,1.350546755,-1.559806313,4.025620626
Jurien,39.97858777,1.320236262,-1.591626995,3.981419416
Jurien,40.19352118,1.289925768,-1.631222542,3.93714033
Jurien,40.40845458,1.259615275,-1.669795464,3.903376694
Jurien,40.62338799,1.229304781,-1.691343669,3.872735777
Jurien,40.83832139,1.198994287,-1.713248256,3.84209486
Jurien,41.0532548,1.168683794,-1.76765393,3.811453944
Jurien,41.2681882,1.1383733,-1.819049809,3.780813027
Jurien,41.48312161,1.108062806,-1.859778337,3.750172111
Jurien,41.69805501,1.077752313,-1.900435153,3.726907548
Jurien,41.91298842,1.047441819,-1.94109197,3.698818439
Jurien,42.12792182,1.017131326,-1.97732427,3.675551685
Jurien,42.34285523,0.986820832,-2.003441588,3.652284931
Jurien,42.55778863,0.956510338,-2.029558906,3.628846303
Jurien,42.77272204,0.926199845,-2.061893922,3.597558001
Jurien,42.98765544,0.895889351,-2.094174315,3.563200414
Jurien,43.20258885,0.865578857,-2.12690218,3.528819525
Jurien,43.41752225,0.835268364,-2.164801822,3.49630993
Jurien,43.63245566,0.80495787,-2.184420581,3.460057746
Jurien,43.84738906,0.774647376,-2.22409711,3.425727824
Jurien,44.06232247,0.744336883,-2.26663077,3.398171754
Jurien,44.27725587,0.714026389,-2.308976219,3.375785852
Jurien,44.49218928,0.683715896,-2.351575762,3.35339995
Jurien,44.70712268,0.653405402,-2.394622777,3.330943362
Jurien,44.92205609,0.623094908,-2.437407833,3.308002087
Jurien,45.13698949,0.592784415,-2.480069977,3.271387423
Jurien,45.3519229,0.562473921,-2.522295766,3.234566816
Jurien,45.5668563,0.532163427,-2.553944765,3.197197091
Jurien,45.78178971,0.501852934,-2.585332914,3.149960398
Jurien,45.99672311,0.47154244,-2.616579356,3.110557281
Jurien,46.21165652,0.441231947,-2.647825797,3.079950393
Jurien,46.42658992,0.410921453,-2.677685504,3.049158166
Jurien,46.64152332,0.380610959,-2.704460388,3.012343615
Jurien,46.85645673,0.350300466,-2.741863525,2.977858238
Jurien,47.07139013,0.319989972,-2.767910394,2.954084271
Jurien,47.28632354,0.289679478,-2.792947812,2.927644423
Jurien,47.50125694,0.259368985,-2.817985229,2.902034965
Jurien,47.71619035,0.229058491,-2.843022647,2.880345597
Jurien,47.93112375,0.198747997,-2.868060064,2.85381977
Jurien,48.14605716,0.168437504,-2.893097482,2.816263956
Jurien,48.36099056,0.13812701,-2.918659458,2.796390757
Jurien,48.57592397,0.107816517,-2.945434341,2.780041177
Jurien,48.79085737,0.077506023,-2.981221264,2.7480663
Jurien,49.00579078,0.047195529,-3.025642939,2.711276766
Jurien,49.22072418,0.016885036,-3.070064614,2.674454638
Jurien,49.43565759,-0.013425458,-3.114486289,2.649556785
Jurien,49.65059099,-0.043735952,-3.149809869,2.628136653
Jurien,49.8655244,-0.074046445,-3.188951123,2.60671652
Jurien,50.0804578,-0.104356939,-3.240468016,2.585140265
Jurien,50.29539121,-0.134667433,-3.291984909,2.563476008
Jurien,50.51032461,-0.164977926,-3.331278855,2.54181175
Jurien,50.72525802,-0.19528842,-3.360623475,2.51726906
Jurien,50.94019142,-0.225598913,-3.389550922,2.48414631
Jurien,51.15512483,-0.255909407,-3.418478368,2.450828993
Jurien,51.37005823,-0.286219901,-3.444131715,2.421392165
Jurien,51.58499164,-0.316530394,-3.46659807,2.400303793
Jurien,51.79992504,-0.346840888,-3.516052501,2.371496578
Jurien,52.01485845,-0.377151382,-3.569636224,2.340351776
Jurien,52.22979185,-0.407461875,-3.623219947,2.308989232
Jurien,52.44472526,-0.437772369,-3.67680367,2.277626687
Jurien,52.65965866,-0.468082862,-3.730387394,2.246264142
Jurien,52.87459207,-0.498393356,-3.782029695,2.214901598
Jurien,53.08952547,-0.52870385,-3.813424006,2.183539053
Jurien,53.30445888,-0.559014343,-3.844772902,2.152176509
Jurien,53.51939228,-0.589324837,-3.876121798,2.120813964
Jurien,53.73432569,-0.619635331,-3.907470693,2.089451419
Jurien,53.94925909,-0.649945824,-3.938819589,2.066702864
Jurien,54.1641925,-0.680256318,-3.970168485,2.034818338
Jurien,54.3791259,-0.710566812,-4.00362993,2.002394315
Jurien,54.59405931,-0.740877305,-4.048921485,1.964945301
Jurien,54.80899271,-0.771187799,-4.082174866,1.938284461
Jurien,55.02392612,-0.801498292,-4.115310906,1.906452319
Jurien,55.23885952,-0.831808786,-4.162304176,1.874620178
Jurien,55.45379293,-0.86211928,-4.205945685,1.842788036
Jurien,55.66872633,-0.892429773,-4.24122398,1.810955894
Jurien,55.88365974,-0.922740267,-4.276465582,1.787059881
Jurien,56.09859314,-0.953050761,-4.311527154,1.764140095
Jurien,56.31352655,-0.983361254,-4.346588726,1.740751616
Jurien,56.52845995,-1.013671748,-4.381650298,1.717255904
Jurien,56.74339336,-1.043982241,-4.41671187,1.693760192
Jurien,56.95832676,-1.074292735,-4.455278546,1.660947266
Jurien,57.17326017,-1.104603229,-4.497928145,1.618743603
Jurien,57.38819357,-1.134913722,-4.553951959,1.587266088
Jurien,57.60312698,-1.165224216,-4.610982218,1.564812604
Jurien,57.81806038,-1.19553471,-4.668012477,1.542359119
Jurien,58.03299379,-1.225845203,-4.725042737,1.519905634
Jurien,58.24792719,-1.256155697,-4.782072996,1.49745215
Jurien,58.4628606,-1.286466191,-4.839103255,1.474998665
Jurien,58.677794,-1.316776684,-4.896133515,1.45254518
Jurien,58.89272741,-1.347087178,-4.953163774,1.430091696
Jurien,59.10766081,-1.377397671,-5.008747904,1.407638211
Jurien,59.32259422,-1.407708165,-5.038019674,1.385184726
Jurien,59.53752762,-1.438018659,-5.058287376,1.362731242
Jurien,59.75246103,-1.468329152,-5.078555078,1.340277757
Jurien,59.96739443,-1.498639646,-5.119144187,1.317824272
Jurien,60.18232784,-1.52895014,-5.181636972,1.295370788
Jurien,60.39726124,-1.559260633,-5.217494341,1.272917303
Jurien,60.61219465,-1.589571127,-5.252375845,1.250463819
